time,cu_area_h,imc10_area_h,imc1_area_h,imc2_area_h,imc3_area_h,imc4_area_h,imc5_area_h,imc6_area_h,imc7_area_h,imc8_area_h,imc9_area_h,sn_area_h
0,201167.74333913,4862.7595605196,2975.5842358443,7906.5907293508,7906.5907293508,1818.9283916884,4862.7595605196,2549.4478722079,6567.305015065,4862.7595605196,6567.3050150651,347952.22599073
9520,201025.48190289,4914.2559764121,3015.2614400574,7973.7470333461,7973.742763552,1848.2771105303,4914.2507076544,2585.2929377664,6627.962148252,4914.2611230564,6627.9621768521,347579.50467963
19020,200867.95450276,4965.1173606127,3054.9482529353,8039.2634381926,8039.2597480433,1878.4291556967,4965.1127219894,2621.4951710948,6687.4354955223,4965.1206563711,6687.4345837989,347228.42891298
28520,200726.1217313,5011.8156679515,3091.3340137071,8099.3446692488,8099.3407913488,1906.2429402387,5011.8105880239,2654.8040564691,6742.0344160821,5011.8176145108,6742.0321588148,346903.3013523
109869.32290039,199963.27867168,5287.9112432456,3307.2791377796,8452.1896584914,8452.2268477397,2074.8342911815,5288.1238428656,2854.363377273,7063.7464863699,5288.0365887866,7063.8681956969,344904.14165889
391884.41293977,197095.03541774,6272.3652700791,4091.3787883262,9704.4649778709,9705.1473125036,2687.0429498178,6275.9547286704,3574.6816831596,8203.9495846167,6273.1277723323,8205.1805681805,337911.6709467
657986.21136259,194058.7077491,7174.8963082468,4832.9253650118,10832.819220319,10833.846500804,3275.2233080309,7181.8407627301,4254.9801708714,9235.0224208817,7174.478385612,9236.3981684235,331908.86163997
933736.27252706,190588.44571583,8232.4511787546,5704.0925034494,12130.733069566,12131.223234793,3985.8288765408,8242.2059679031,5064.8173000676,10438.338870029,8218.1953192879,10428.208750359,324835.45921342
1182604.2489459,187169.3387354,9099.3582870666,6422.5237601914,13266.411676686,13271.681255288,4567.437505412,9124.3428780751,5731.3283062435,11432.564503459,9131.7878004322,11465.663782282,319317.56150947
1422539.45749,183866.99993669,9717.1270890513,6924.5926652355,14287.295497021,14306.033388982,4964.46616551,9834.9250614036,6179.7775417374,12192.943372262,9888.5888636335,12356.522575939,315480.72784253
1662474.666034,180592.62302098,10324.525013152,7418.1502529033,15227.960875203,15266.006754763,5344.5374757927,10528.246582725,6614.9114242645,12937.064081583,10576.454633906,13176.600482393,311992.91940233
1977131.6968988,176648.63015552,11072.664128708,8001.2581987427,16234.109429097,16290.032145534,5792.5781304284,11388.000071225,7132.7662275908,13854.882208716,11300.041145052,14078.544005648,308206.49415373
2254854.2427273,173037.14478342,11736.562412395,8505.8911968068,17139.841488456,17212.565612126,6167.7281245664,12160.977381981,7576.8306466247,14682.422257047,11925.919654895,14876.709567988,304977.40687369
2519415.8818414,169637.7271847,12365.801197549,8960.0363273984,17986.658060149,18073.404331872,6509.7548664605,12887.203674891,7983.6805356107,15458.814677982,12508.748236071,15629.271307805,301998.89959951
2783977.5209556,166233.43871043,12992.633442686,9415.5132430819,18849.388580537,18949.476863882,6842.0820226412,13623.437306825,8384.0202120475,16249.220104613,13090.184126291,16395.781387918,298974.82399904
3134925.1492816,161830.82771958,13814.679558036,9996.1038409269,19980.139685935,20095.502318546,7256.2205849991,14598.121175587,8890.9662689899,17293.197333189,13848.362258822,17408.090035652,294987.78921974
3463598.577763,157201.62578174,14635.806249675,10573.220810744,21108.139175607,21242.982628651,7659.4600504315,15571.603305021,9393.2838214129,18334.71692634,14597.18130767,18406.80934224,291275.17060047
3755314.2509879,153565.1097696,15317.826329758,11036.588065338,22053.503681809,22204.731295665,7978.2108971489,16387.4328699,9798.4146467392,19212.094154764,15211.720496645,19244.468961557,287989.89883108
4047029.9242129,149912.62416693,16003.56608225,11494.438472795,23004.822273859,23172.873808413,8282.7088433787,17214.249295361,10199.977614633,20098.163201259,15824.947628213,20088.895714498,284702.73289841
4333494.7153198,146395.03093303,16669.997214558,11928.45040801,23919.432452402,24136.161224833,8562.9868328042,18024.510278529,10579.507212855,20965.003401807,16431.364862561,20899.154378511,281488.4008001
4596504.8370102,143060.9954105,17293.950779793,12330.312094337,24789.232202381,25004.684750454,8814.2291258317,18789.020246088,10929.171676791,21774.226053542,16970.318285603,21677.551322154,278566.30805253
4846614.5623414,139966.91387244,17866.621909776,12690.192533941,25601.78385109,25829.174708256,9023.542516066,19507.997166867,11240.526363307,22527.311530947,17465.675440657,22398.313245751,275881.9468609
5096724.2876727,136891.47450081,18447.934409102,13037.180760813,26429.317591332,26675.047081722,9207.1942753807,20240.805271522,11544.297079522,23284.860253159,17962.894714431,23123.077327184,273155.91673502
5346834.0130039,134078.76923684,19010.965333681,13360.154219019,27222.156455239,27517.334531186,9353.5910439271,20967.862645437,11825.121831513,24032.234778926,18450.413844187,23821.127493252,270360.26858679
5596943.7383351,131070.32688125,19593.77109867,13700.583674062,28036.2244204,28362.678888458,9501.943816209,21715.996497618,12119.593901973,24797.702624448,18944.034183673,24544.964995592,267612.17901764
5847053.4636664,128111.83840257,20158.602224215,14030.518852727,28839.442495039,29188.775622764,9650.3666261339,22444.15613907,12400.124698371,25547.557707444,19420.109647412,25252.92858176,264955.5790025
6087408.9097097,125068.25530908,20732.875677288,14342.846907069,29653.261485338,30022.716705877,9809.9934545655,23165.341420077,12666.207669655,26299.552254744,19906.844941579,25958.201035895,262373.90313883
6325013.1487744,122030.11893244,21314.624452485,14655.249291606,30471.745989493,30856.444255857,9971.0595399959,23894.608940735,12927.908665135,27063.561052141,20400.396257564,26667.34991548,259746.93270707
6553113.2182765,119075.58529863,21866.368761516,14954.691192464,31250.398853266,31640.882588888,10128.955775127,24598.927800752,13166.626871524,27810.323220441,20856.568537679,27352.052260221,257298.61883949
6767551.0440323,116397.98534393,22364.712374764,15206.585319587,31982.473485937,32372.607280199,10271.193178467,25248.188497426,13364.276159651,28500.183763898,21265.37230886,27973.632302706,255052.78998458
6981988.8697882,114227.13468565,22839.164917243,15411.066482344,32664.575379804,33043.787375878,10387.275916732,25861.836846097,13513.183371766,29153.85517809,21645.721301604,28561.403370016,252690.99517478
7196426.6955441,111524.76544801,23361.750496077,15653.604097447,33399.06049006,33757.076462562,10537.353555845,26552.493322636,13655.988312633,29859.887554289,22060.420413925,29197.829575105,250439.77027141
7410864.5213,108687.13454719,23921.324636119,15859.933958129,34161.754151527,34517.03556095,10693.656630868,27225.73149081,13824.520085452,30591.220305701,22498.255323665,29837.291698795,248182.1416108
7623372.406624,106071.61510432,24451.805654792,16059.265946495,34918.283768389,35242.525883557,10829.577890708,27897.887929127,13961.234142276,31319.540007177,22909.64769945,30476.832244136,245861.78372957
7827088.3410921,103923.28374848,24912.154376754,16210.82502547,35583.273146924,35858.818595331,10951.341183165,28489.979194371,14068.111739301,31956.675723721,23245.542211755,31029.550097918,243770.44495681
8030804.2755601,101403.20474155,25414.278777633,16381.747766663,36318.405647333,36547.774129797,11092.88321184,29115.422720914,14209.708946387,32654.464065897,23635.174084176,31646.001633331,241580.93427448
8234520.2100282,98705.603354092,25951.874090818,16555.267071504,37073.224310085,37251.683942484,11236.02592356,29757.245496341,14358.09150671,33369.035360913,24042.224281563,32277.58900219,239422.13565974
8438236.1444963,96312.351327336,26444.34574743,16693.958692652,37803.511613223,37928.825500574,11352.885828251,30367.612589841,14491.721885128,34023.89876832,24397.492827298,32855.184437873,237328.21078207
8641952.0789643,94178.566371106,26926.274390994,16829.934746474,38479.855177487,38568.327675448,11474.718417641,30949.49056583,14624.017620256,34667.257045145,24768.449154683,33418.810612298,235114.29822264
8845668.0134324,91490.338801652,27437.726244382,17016.317731252,39214.767101866,39260.155453222,11621.243587263,31571.139660222,14794.870101439,35349.016968298,25157.758070814,34038.377051073,233048.28922852
9049383.9479004,88840.008620596,27948.121492186,17201.465517544,39974.11119318,39972.253211448,11757.831383711,32194.195449909,14961.258041236,36038.491559077,25552.186697513,34663.089194241,230896.98763936
9253099.8823685,86799.256025263,28410.68266686,17340.473376168,40637.059318241,40597.469430477,11861.133085339,32762.962055553,15083.88065265,36658.616587917,25894.737693291,35216.626863598,228737.10224464
9456815.8168366,84308.493998871,28876.031981811,17533.765955438,41341.133558494,41271.063113851,12000.688117068,33340.168123445,15255.468772542,37323.29526177,26267.116725356,35802.836719639,226679.93767172
9660531.7513046,81613.453246871,29386.412650519,17737.810930143,42090.161965468,41979.72554149,12143.909100564,33966.25460652,15429.043636973,38032.479840208,26672.489133058,36445.585085991,224502.67426219
9864247.6857727,79299.446693247,29845.185899601,17903.488247199,42776.587413187,42649.391868639,12245.198962775,34551.015380286,15564.510964559,38687.310028395,27013.332929254,37024.183087359,222440.3485255
10067963.620241,77076.253234914,30293.42197951,18074.300029119,43461.40644517,43295.365646236,12371.226346035,35109.385253643,15713.618432,39329.042746897,27362.4541836,37600.630606522,220312.89509635
10271679.554709,74446.059837578,30793.122649567,18279.034407876,44185.854288603,43978.309089988,12510.131329227,35715.565948234,15888.142378096,40027.487555103,27750.584802201,38236.247614763,218189.46009876
10471524.886422,71944.077309855,31249.392088508,18466.15753432,44899.643704257,44666.370022963,12618.655692635,36296.594706847,16040.7557738,40695.395643929,28094.037431623,38835.933416099,216192.98667516
10665055.024167,69951.044538603,31675.412849594,18612.775028675,45537.847112634,45277.627002715,12717.843038809,36835.338629551,16167.183717928,41294.289321679,28417.757604517,39382.427426942,214130.45372835
10858585.161911,67529.427073961,32113.300139619,18805.301694415,46195.910084336,45922.60965225,12849.374270824,37393.242864671,16329.093396251,41934.332640643,28756.282726639,39955.652137146,212215.47331925
11052115.299656,65062.43776598,32570.065698014,18990.788580575,46901.270379743,46600.217499243,12952.257466546,37969.644696077,16486.068575421,42599.584474363,29109.797569341,40568.772286445,210189.09500825
11245645.437401,63032.201024369,32977.036616152,19137.904090635,47530.923922512,47210.731454119,13041.323156856,38509.036461381,16608.443216021,43203.989895688,29396.770951741,41118.742434543,208232.89677598
11439175.575145,60666.599218098,33410.567294125,19327.264450702,48200.023823283,47850.203309032,13169.157643451,39055.206127169,16773.074616304,43850.079984607,29725.232011746,41708.288373673,206264.30314781
11632705.71289,58191.086066505,33873.832398012,19513.871152605,48888.997717005,48513.711495965,13266.195928299,39637.259990931,16921.786491398,44524.679075095,30073.008294038,42325.214642306,204270.35674784
11826235.850634,56153.54957283,34255.910221003,19658.41602395,49526.490662224,49142.820809738,13366.92618172,40156.943670094,17041.093058718,45131.074805172,30346.595457466,42870.272790092,202349.90674699
12019765.988379,53832.29984647,34707.702317891,19844.786116807,50163.989944354,49780.870000756,13486.447998299,40715.02911942,17202.772519095,45774.97425104,30701.180668507,43454.067317049,200335.87990031
12213296.126124,51355.243820844,35147.37463508,20030.302383543,50855.407419729,50459.145279452,13569.835449914,41287.636717565,17352.701615401,46433.611678236,31013.560360457,44055.189554329,198439.99108545
12406826.263868,49283.12316407,35540.526108407,20175.030885957,51508.311784834,51102.949055557,13646.844145141,41834.286733763,17469.752018195,47067.64005013,31307.789262533,44634.549710556,196429.19708086
12600356.401613,46998.534201694,35970.64224025,20359.299499796,52139.154263525,51722.511926018,13755.986260484,42378.047975732,17631.793193498,47697.654776617,31604.920032107,45209.745936743,194531.70969354
12793886.539358,44530.390452795,36416.719060018,20544.777349492,52841.927284232,52411.220318974,13830.06166123,42956.882639183,17781.059650445,48373.780645859,31939.143664308,45825.679078883,192548.35819458
12987416.677102,42458.283468346,36814.721603482,20687.42354618,53477.161810108,53046.778902625,13896.97795625,43501.061493558,17897.722624097,48992.635128154,32212.127489454,46391.778597913,190623.32737983
13180946.814847,40191.150757774,37238.923936286,20869.698509993,54107.144985497,53678.51206473,14022.472475764,44030.710417956,18059.415706286,49622.329391564,32524.915058678,46956.732101017,188697.99459445
13374476.952592,37733.968431104,37694.890725873,21055.97286906,54790.872955367,54360.605962006,14079.197723298,44620.869885581,18204.883577407,50300.900817638,32849.257416431,47582.135976028,186726.44366021
13568007.090336,35635.237310021,38070.515701462,21201.986900501,55436.753318078,55004.713677451,14163.026417493,45148.386027084,18321.666520875,50915.96923331,33093.937116558,48154.275752727,184853.53202444
13761537.228081,33383.324219865,38509.514045363,21384.246310205,56068.253217618,55636.409480878,14246.503986766,45714.586254952,18483.529602788,51563.35623494,33400.824254814,48748.304351449,182861.14804036
13943920.029891,31067.744900217,38914.059563737,21555.287222157,56714.007021135,56292.823169259,14278.544459882,46260.015015826,18612.818599396,52188.876534957,33674.008765479,49323.440182793,181118.37456516
14118580.979206,29278.195069755,39269.031414671,21678.881864165,57279.241766773,56860.529069582,14341.446403646,46743.240743429,18716.286946222,52759.358413964,33913.186108069,49839.583350742,179321.01884898
14293241.928521,27040.924188916,39660.835950583,21857.187591621,57871.583939602,57474.952914562,14394.956228213,47267.731672575,18864.260964169,53352.450658774,34175.691449904,50383.37064639,177656.05379469
14467902.877835,25094.120260549,40035.209752625,21981.767762214,58468.747506162,58083.571756496,14424.951478536,47781.557607482,18959.174624626,53944.256679713,34421.572069601,50931.902678372,175873.16782362
14642563.82715,23127.243626018,40392.636674541,22142.890415303,59022.460533923,58661.329167615,14478.505801847,48269.581102056,19103.989138863,54507.84185762,34637.175065424,51449.416403535,174206.93021325
14817224.776464,20853.366247245,40804.024417759,22312.984060025,59645.708544198,59301.764204583,14496.992078403,48819.979549427,19231.084937342,55163.678152883,34892.651530326,52042.48253781,172435.28374
14991885.725779,19131.441877725,41123.772875733,22429.264037358,60189.829630307,59877.524982403,14541.923672019,49288.450541641,19339.63604528,55705.6087666,35051.633916883,52552.328403758,170768.58525029
15150870.854892,17062.77825291,41502.645503807,22594.519493087,60741.781246579,60445.803110451,14550.371784151,49780.785725534,19474.458548695,56292.096638573,35291.120258946,53094.4304092,169169.20902807
15308502.361649,15378.140520211,41794.354895228,22699.415478721,61268.417069388,60992.232831224,14599.304231933,50216.012765448,19549.982333348,56814.140234603,35460.115848517,53570.463654445,167657.42013693
